Country,4G coverage,Fiber coverage,Internet BW per user,5G commercial networks,# of IXPs,# & maturity of 5G pilots,Time to get electricity,4G launch year,5G spectrum auction plans,Govt ensuring policy stability,Legal fwk's adaptability to digital BMs,Efficiency in settling disputes,Efficiency in challenging regulations,Burden of govt regulation,Public sector corruption,# of days to start a business,Companies with disruptive ideas,Growth of innovative companies,Researchers in R&D,R&D expenditure (% of GDP),University-industry collaboration,FDI & technology transfer,VC availability,Tertiary (%),Skillset of univrsity graduates,Extent of staff training,Availability of scientists & engineers,e-Gov services,Competition in network services,GDP per capita,ICTs & business model creation,Internet users (% of population)
Finland,89.50,37.50,62.05,100.00,10.11,30.15,86.55,90.91,66.67,81.66,67.71,82.65,78.07,64.91,86.00,71.38,59.29,65.69,62.83,57.76,75.75,62.67,68.81,62.76,78.09,75.25,83.84,96.50,76.29,86.24,85.00,88.89
Switzerland,89.60,30.30,61.50,100.00,30.32,23.60,87.54,72.73,66.67,89.66,60.49,80.50,71.01,63.25,85.00,78.53,53.81,67.01,49.25,70.58,77.52,73.17,56.00,42.38,83.56,78.97,68.76,84.70,68.46,88.82,85.00,89.81
Germany,76.90,8.50,55.92,100.00,80.85,64.24,91.15,90.91,66.67,71.04,67.28,63.94,63.55,56.90,80.00,83.30,63.31,68.24,47.18,63.48,70.74,73.67,63.42,49.99,70.84,65.26,69.24,93.10,73.07,87.12,78.33,89.74
Denmark,88.60,64.40,62.59,25.00,12.63,10.49,87.87,90.91,33.33,76.03,60.17,72.04,58.98,47.88,87.00,94.04,64.53,68.07,73.97,64.90,69.12,65.33,46.50,57.37,75.01,71.17,56.60,100.00,62.60,87.17,75.00,97.64
Sweden,91.10,72.20,58.91,25.00,45.48,7.87,83.27,100.00,50.00,62.63,67.87,68.18,56.58,45.89,85.00,84.50,59.57,74.23,71.12,69.27,71.02,71.17,56.36,47.67,74.92,70.73,64.03,94.40,72.07,87.28,81.67,92.14
United Kingdom,84.70,3.80,84.68,100.00,68.22,56.37,85.24,72.73,50.00,60.05,64.83,68.07,59.15,55.61,77.00,91.65,59.25,65.38,41.00,35.00,69.05,75.33,57.93,42.70,67.54,62.67,64.81,97.90,68.36,86.05,80.00,94.90
Netherlands,92.80,35.10,67.04,50.00,27.79,30.15,66.88,77.27,33.33,78.27,65.48,75.65,68.12,56.63,82.00,94.04,62.34,71.69,46.90,41.87,74.40,74.33,56.39,60.47,76.90,72.44,64.26,93.10,77.12,87.81,83.33,94.71
Norway,95.90,58.70,63.85,50.00,17.69,22.29,78.68,100.00,66.67,70.72,60.33,66.07,56.85,47.48,84.00,92.84,57.71,57.24,60.68,44.20,61.73,69.17,48.45,58.34,70.87,68.23,67.52,95.10,67.45,89.99,73.33,96.49
Luxembourg,86.60,63.40,98.72,50.00,5.05,3.93,81.96,72.73,33.33,86.94,77.44,70.65,68.88,58.85,80.00,63.03,55.19,66.51,43.86,26.23,69.39,79.67,57.74,13.63,74.56,75.15,50.11,92.40,64.91,92.80,80.00,97.06
Austria,86.60,13.00,55.55,100.00,12.63,10.49,92.78,90.91,50.00,81.40,55.31,69.51,53.40,44.66,77.00,52.30,45.71,59.34,48.92,66.08,64.07,61.33,45.17,60.53,74.97,68.43,58.76,86.80,72.95,87.12,73.33,87.71
Iceland,86.60,67.70,86.81,25.00,2.53,0.00,93.11,68.18,0.00,62.97,62.32,69.81,64.96,49.98,78.00,74.96,60.69,63.61,62.15,45.57,59.14,55.67,44.64,51.13,73.99,65.30,64.31,72.90,71.93,87.49,73.33,99.01
Estonia,86.60,54.20,67.43,75.00,10.11,18.35,70.48,90.91,33.33,51.74,69.25,56.00,51.58,52.01,74.00,94.04,51.90,66.14,33.43,27.67,47.58,62.33,47.10,49.56,66.52,62.18,55.49,90.30,79.30,83.91,75.00,89.36
