DIH Name;Location;City;Country;Website;NUTS2 Code ;NUTS2 Name 
Aachen DIH Center for Robotics in Healthcare;Pauwelsstraße 30;Aachen;Germany;http://www.robotics.ukaachen.de/;DEA2;Köln
Aalen University / Transfer Platform Industry 4.0;Beethovenstraße, 1;Aalen;Germany;http://www.hs-aalen.de/;DE11;Stuttgart
Aarhus University Centre for Digitalisation, Big Data and Data Analytics (DIGIT);Finlandsgade 22;Aarhus;Denmark;http://www.digit.au.dk;DK04;Midtjylland
Accelerating Photonics innovation for SME’s (ACTPHAST 4.0);Brussels Photonics B-PHOT, Vrije Universiteit Brussel, Pleinlaan 2, B-1050, Belgium;Brussel;Belgium;http://www.actphast.eu;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
ADAPT Centre;O'Reilly Building, Trinity College Dublin;Dublin;Ireland;https://www.adaptcentre.ie/;IE02;Southern and Eastern (NUTS 2013)
AddedValue;Podmanitczky utca 49 (5525 Füzesgyarmat, Vécsei utca 8.);Budapest;Hungary;https://www.addedvalueinstitution.com/?page_id=178;HU10;Közép-Magyarország (NUTS 2013)
Advanced Forming Research Centre (SRMDIH);85 Inchinnan Dr, Inchinnan, Renfrew;Glasgow;United Kingdom;https://www.strath.ac.uk/research/advancedformingresearchcentre/;UKM3;South Western Scotland (NUTS 2013)
Advanced Manufacturing Digital Innovation Hub;Savanorių pr. 176c-804;Vilnius;Lithuania;http://intechcentras.lt/services/advanced-manufacturing-digital-innovation-hub/?lang=en;LT00;Lietuva (NUTS 2013)
Aerospace Valley;Bâtiment B612, 3 Rue Tarfaya,;Toulouse;France;http://www.aerospace-valley.com/;FR62;Midi-Pyrénées (NUTS 2013)
AFIL - Lombardy Intelligent Factory Association;via Ercole Oldofredi, 23;Milano;Italy;http://www.afil.it/;ITC4;Lombardia
AGENCIA GALLEGA DE LA CALIDAD ALIMENTARIA;LUGAR DE QUIAN SERGUDE S/N;BOQUEIXON A CORUNA;Spain;;ES11;Galicia
AGORIA;August Reyerslaan, 80;Brussels;Belgium;http://www.agoria.be;BE10;Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest
AGRARGAZDASAGI KUTATO INTEZET;ZSIL 3-5;BUDAPEST;Hungary;;HU10;Közép-Magyarország (NUTS 2013)
Agri Sud Ouest Innovation;8 Chemin de la Crouzette;Auzeville-Tolosane;France;https://www.agrisoi.fr/;FR62;Midi-Pyrénées (NUTS 2013)
AgriFood Croatia;Put gimnazije 2;Sibenik;Croatia;https://agrifoodcroatia.com/;HR04;Kontinentalna Hrvatska
AgriFood Lithuania DIH;Mokslininku st. 2A;Vilnius;Lithuania;https://www.agrifood.lt/;LT00;Lietuva (NUTS 2013)
Agro Space DIH;Mokslininku 6A;Vilnius;Lithuania;http://www.vpva.lt/agrospacedih/;LT00;Lietuva (NUTS 2013)
AgroHub.BG;str. G.Danchov 30,fl. 8;Plovdiv;Bulgaria;https://agrohub.bg/;BG41;Yugozapaden
AI Hub East Netherlands;Laan van Malkenschoten 40;Apeldoorn;Netherlands;https://www.aihub-oost.nl/en;NL22;Gelderland
AIR4S - Artificial Intelligence & Robotics for Sustainable Development Goals;C/ Ramiro de Maeztu 7;Madrid;Spain;http://www.upm.es/dih-air4s;ES30;Comunidad de Madrid
AI4GALICIA: Artificial Intelligence for Galicia;Universidade da Coruña. Campus de Elviña s/n 15071, A Coruña (Spain);A Coruna;Spain;http://ai4galicia.eu;ES11;Galicia
Algarve Smart Destination, Digital Innovation Hub;Universidade do Algarve, Campus de Gambelas, Pavilhão B1;Faro;Portugal;http://www.algarvesmartdestination.com;PT15;Algarve
Algebra LAB;Ilica 242;Zagreb;Croatia;https://www.algebra.hr/lab/;HR04;Kontinentalna Hrvatska
Alma Mater Studiorum - Università di Bologna;Via Zamboni 33;bologna;Italy;https://www.unibo.it/;ITH5;Emilia-Romagna
am-LAB;Zanati u. 32-36;Szombathely;Hungary;http://www.amlab.hu;HU22;Nyugat-Dunántúl
Amsterdam Data Science (ADS);Free University,  Room T3.06b, De Boelelaan 1105;Amsterdam;Netherlands;http://amsterdamdatascience.nl;NL32;Noord-Holland
AMSYSTEMS Center;De Rondom, 1;Eindhoven;Netherlands;http://amsystemscenter.com/;NL41;Noord-Brabant
Andalucía Agrotech Digital Innovation Hub;Tabladilla s/n;Sevilla;Spain;https://www.andaluciaagrotech.com/;ES61;Andalucía
API-K Lab;54 ZA de Tire Poix EUREKALP;saint vincent de mercuze;France;https://api-k.com/en/api-k-lab/;FR71;Rhône-Alpes (NUTS 2013)
Application Center for Automation in Healthcare;Theodor-Kutzer-Ufer 1-3;Mannheim;Germany;https://pamb.ipa.fraunhofer.de/en.html;DE12;Karlsruhe
Application Center Industrie 4.0            ;Allmandring 35;Stuttgart;Germany;https://www.ipa.fraunhofer.de/en/cooperation/industry-on-campus/application-center-industrie-40.html;DE11;Stuttgart
Apulia CPS/IoT Hub for Regional Digital Manufacturing SMEs;Via Amendola, 172;BARI;Italy;http://www.dihapulia.it/web/;ITF4;Puglia
Arctic Development Environments Cluster;Tietokatu 1;Kemi;Finland;https://ardico.fi/portal#/go-digital;FI1D;Pohjois- ja Itä-Suomi
Arctic Drone Labs;Yliopistokatu 9;OULU;Finland;https://www.arcticdronelabs.com;FI1D;Pohjois- ja Itä-Suomi
Arctic Game Lab;Storgatan 53;Skelleftea;Sweden;http://arcticgamelab.com/en/;SE33;Övre Norrland
AREA Science Park - IP4FVG;Padriciano, 99;Trieste;Italy;http://www.ip4fvg.it;ITH4;Friuli-Venezia Giulia
ARSCONTROL;Tecnopolo, Piazzale Europa, 1, 42124 Reggio Emilia RE, Italia;Reggio Emilia;Italy;http://www.arscontrol.org;ITH5;Emilia-Romagna
ART-ER-DIH;via Piero Gobetti, 101;Bologna;Italy;https://www.aster.it/en/aster-dih/;ITH5;Emilia-Romagna
ASSIST4SME – Digital Transformation of SME through Assistive Systems in Production;Im Stadtgut A2;Steyr;Austria;https://www.profactor.at/open-labs/cognitive-robotics-and-factory-hub/;AT31;Oberösterreich
Associació Clúster Digital de Catalunya;Carrer Bilbao 72, Ed. A, Complex Cornerstone;Barcelona;Spain;http://www.clusterdigital.cat;ES51;Cataluña
Association de Coordination Technique Agricole;rue de Bercy 149;Paris;France;;FR10;Île de France
ASSOCIATION POUR LE DEVELOPPEMENT DES RECHERCHES AUPRES DES UNIVERSITES DE L ACADEMIE DE GRENOBL;46 avenue Felix Viallet;GRENOBLE;France;;FR71;Rhône-Alpes (NUTS 2013)
ASTER - SOCIETA CONSORTILE PER AZIONI;VIA PIERO GOBETTI  101;BOLOGNA;Italy;;ITH5;Emilia-Romagna
ASTRID iHUB;Heßlinger Straße 1-5;Wolfsburg;Germany;https://astridhub.com/;DE91;Braunschweig
ASTURIAS DIGITAL INNOVATION HUB;Parque Tecnológico de Asturias;Llanera;Spain;https://www.asturiasindustria40.es/en/;ES12;Principado de Asturias
ATHENA Research and Innovation Center;Artemidos 6 & Epidavrou;Maroussi, Athens;Greece;http://www.athena-innovation.gr;EL30;Attiki
Atlanpole;Chateau de la Chantrerie, BP 90702;Nantes;France;http://www.atlanpole.fr;FR51;Pays de la Loire (NUTS 2013)
Attica Hub for the Economy of Data and Devices- ahedd;Patr. Gregoriou E & 27 Neapoleos Str, Agia Paraskevi;Athens;Greece;http://ahedd.demokritos.gr/;EL30;Attiki
AURIA CLINICAL INFORMATICS (ACI);Auria Clinical Informatics P.O. Box 52, FI-20521 Turku, Finland;Turku;Finland;https://www.auria.fi/tietopalvelu/en/index.php?lang=en;FI1C;Etelä-Suomi
Axelera;Rond-point de l'échangeur  Les levées;Solaize;France;https://www.axelera.org/;FR71;Rhône-Alpes (NUTS 2013)
Azores Digital Innovation Hub;Rua da Tecnologia K – Epsilon, N.º 2, Rosário;Lagoa;Portugal;https://nonagon.pt/dih/;PT20;Região Autónoma dos Açores (PT)
Bar Ilan Institute of Nanotechnology  & Advanced Materials (BINA);Bar-Ilan University Campus;Ramat Gan;Israel;https://nano.biu.ac.il/;;
Barça Innovation Hub (BIHUB);Arístides Maillol s/n;Barcelona;Spain;http://barcainnovationhub.com/;ES51;Cataluña
Barcelona Activa SA SPM;Marie Curie, 8-12  08042 Barcelona;Barcelona;Spain;http://www.barcelonactiva.cat;ES51;Cataluña
Barcelona Science Park;Parc Científic de Barcelona c/ Baldiri Reixac, 10-12, 08028 Barcelona (Spain);Barcelona;Spain;http://www.pcb.ub.edu;ES51;Cataluña
Bar-Ilan Center for Smart Cities;Bar-Ilan University Ramat Gan, 5290002 Israel;Ramat Gan;Israel;https://www.biu-smart-city.com/;;
Basque Digital Innovation Hub (BDIH);Alameda Urquijo 36;Bilbao;Spain;http://www.spri.eus/en/basque-industry/basque-digital-innovation-hub/;ES21;País Vasco
Bavarian Robotic Network (BaRoN);Schleißheimer Str. 90a;Garching bei München;Germany;http://www.robot.bayern;DE21;Oberbayern
BBRI Cluster BIM;Lozenberg 7;Sint-Stevens-Woluwe;Belgium;https://www.bimportal.be/nl/;BE24;Prov. Vlaams-Brabant
BEIA DIH;Peroni 16;Bucharest;Romania;http://www.beia-telecom.ro/bgi/;RO32;Bucuresti - Ilfov
Belgian Building Research Institute (BBRI);Pierre Holoffe 21;Limelette;Belgium;https://www.cstc.be/homepage/;BE31;Prov. Brabant Wallon
Belgrade Robotics Hub - BRH;Bulevar kralja Aleksandra 73;Belgrade;Serbia;http://robot.etf.rs/;;
BIBA- Bremer Institut für Produktion und Logistik GmbH;Hochschulring 20;Bremen;Germany;http://www.biba.uni-bremen.de/;DE50;Bremen
BIC EURONOVA S.A.;Parque Tecnológico de Andalucía, Avda. Juan López Peñalver, 21 29590 - MÁLAGA - ESPAÑA;Málaga;Spain;http://www.bic.es;ES61;Andalucía
BigInsight;Gaustadalleen 23;Oslo;Norway;https://www.biginsight.no;NO01;Oslo og Akershus
